"id","n","label","parent"
"total  -  Drama  -  Ireland",288,"Ireland","total  -  Drama"
"total  -  Family  -  Ireland",35,"Ireland","total  -  Family"
"total  -  Mystery  -  Ireland",37,"Ireland","total  -  Mystery"
"total  -  Romance  -  Ireland",85,"Ireland","total  -  Romance"
"total  -  Thriller  -  Ireland",53,"Ireland","total  -  Thriller"
"total  -  Action  -  Israel",204,"Israel","total  -  Action"
"total  -  Adventure  -  Israel",120,"Israel","total  -  Adventure"
"total  -  Animation  -  Israel",57,"Israel","total  -  Animation"
"total  -  Comedy  -  Israel",181,"Israel","total  -  Comedy"
"total  -  Crime  -  Israel",122,"Israel","total  -  Crime"
"total  -  Drama  -  Israel",328,"Israel","total  -  Drama"
"total  -  Mystery  -  Israel",40,"Israel","total  -  Mystery"
"total  -  Romance  -  Israel",93,"Israel","total  -  Romance"
"total  -  Sci Fi  -  Israel",40,"Israel","total  -  Sci Fi"
"total  -  Thriller  -  Israel",71,"Israel","total  -  Thriller"
"total  -  Action  -  Italy",183,"Italy","total  -  Action"
"total  -  Adventure  -  Italy",90,"Italy","total  -  Adventure"
"total  -  Comedy  -  Italy",171,"Italy","total  -  Comedy"
"total  -  Crime  -  Italy",146,"Italy","total  -  Crime"
"total  -  Drama  -  Italy",359,"Italy","total  -  Drama"
"total  -  Fantasy  -  Italy",42,"Italy","total  -  Fantasy"
"total  -  Horror  -  Italy",37,"Italy","total  -  Horror"
"total  -  Mystery  -  Italy",72,"Italy","total  -  Mystery"
"total  -  Romance  -  Italy",94,"Italy","total  -  Romance"
"total  -  Thriller  -  Italy",51,"Italy","total  -  Thriller"
"total  -  Action  -  Jamaica",223,"Jamaica","total  -  Action"
"total  -  Adventure  -  Jamaica",130,"Jamaica","total  -  Adventure"
"total  -  Animation  -  Jamaica",81,"Jamaica","total  -  Animation"
"total  -  Comedy  -  Jamaica",182,"Jamaica","total  -  Comedy"
"total  -  Crime  -  Jamaica",130,"Jamaica","total  -  Crime"
"total  -  Drama  -  Jamaica",286,"Jamaica","total  -  Drama"
"total  -  Fantasy  -  Jamaica",45,"Jamaica","total  -  Fantasy"
"total  -  Mystery  -  Jamaica",46,"Jamaica","total  -  Mystery"
"total  -  Romance  -  Jamaica",77,"Jamaica","total  -  Romance"
"total  -  Thriller  -  Jamaica",93,"Jamaica","total  -  Thriller"
"total  -  Action  -  Japan",239,"Japan","total  -  Action"
"total  -  Adventure  -  Japan",159,"Japan","total  -  Adventure"
